"","year","est","lwr","upr","log_est","se","type","index","i_upr","i_lwr"
"1",2019,74845701.8912914,46448408.3998096,120604328.212525,18.1309392442191,0.24341594547155,"index",0.620588854484563,1,0.385130526310462
"2",2021,38110730.7591145,23222445.4279374,62544136.598396,17.4560064476626,0.252747809293478,"index",0.315998035260865,0.518589486176504,0.192550680163116
"3",2023,41922230.3953555,27141194.1657356,64752987.3073893,17.5513268025577,0.221822234680207,"index",0.347601375644507,0.536904340558023,0.225043284664777
